"Record ID","Company name","Company owner","Number of Employees","Industry","Alternate Company Owner","Account Status (Obsolete)","Last Activity Date","Create Date","Phone Number","City","Country","State/Region","Last Contacted","Lead Status","Deal Closed - Timestamp","Owner assigned date","Website URL","LinkedIn Company Page"
"29630751367","RedStone Logistics","Patty Patterson-Tay","250.0","Logistics and Supply Chain","","","2026-02-14 16:30","2025-02-05 10:25"," +1 (888) 733-5030","Overland Park","United States","Kansas","2025-12-19 09:14","Connected","","2026-01-21 15:54","redstonelogistics.com","https://www.linkedin.com/company/redstone-logistics"
"22810097724","envia.com","Patty Patterson-Tay","250.0","Logistics and Transportation","","","2025-12-04 10:46","2024-09-06 16:00","","San Pedro Garza García","United States","Nuevo Leon","2025-12-04 10:46","In Progress","","2025-12-15 19:06","envia.com","https://www.linkedin.com/company/enviacom"
"17185082734","rolfson oil","Patty Patterson-Tay","247.0","Logistics and Transportation","","Prospect","2026-01-28 15:09","2023-09-01 10:47"," +17012046663","Texas ","United States","Addison","2026-01-28 15:09","Connected","","2025-12-15 19:06","www.rolfsonoil.com","https://www.linkedin.com/company/rolfson-oil/"
"9956679047","Remco","Patty Patterson-Tay","244.0","Logistics and Transportation","","Prospect","2026-01-23 16:02","2022-11-02 10:09"," +1 (717) 697-0389","Montréal","Canada","Québec","2026-01-23 16:02","Connected","","2025-12-15 19:06","http://www.remco.ca","http://www.linkedin.com/company/remco-"
"28921384998","Ole Mexican Foods","Patty Patterson-Tay","243.0","Logistics and Transportation","","","2026-01-19 16:42","2025-01-23 13:55"," +17045871763","Grand Prairie","Unknown","Texas","2026-01-19 16:42","In Progress","","2025-12-15 19:06","olemexicanfoods.com","https://www.linkedin.com/company/ole-mexican-foods"
"21838427975","Intercity Transit","Patty Patterson-Tay","240.0","Transportation/Trucking/Railroad","","","2026-01-20 10:20","2024-07-10 15:48","","Olympia","United States","Washington","2026-01-20 10:20","Connected","","2025-12-15 19:06","intercitytransit.com","https://www.linkedin.com/company/intercity-transit"
"21838497975","Spokane Transit Authority","Patty Patterson-Tay","237.0","Transportation/Trucking/Railroad","","","2026-01-20 14:48","2024-07-10 15:48"," +15093256000","Spokane","United States","Washington","2026-01-20 14:48","Connected","","2025-12-15 19:06","spokanetransit.com","https://www.linkedin.com/company/spokanetransit/"
"9035820154","Eternity Logistics","Patty Patterson-Tay","232.0","Logistics and Transportation","Natalia Henao","Prospect","2026-01-06 08:54","2022-07-01 14:52"," +1 (929) 429-7237","Melville","United States ","New York","2026-01-06 08:54","In Progress","","2025-12-15 19:06","http://www.eternitylogistics.co","https://www.linkedin.com/company/eternity-logistics/people/?viewAsMember=true "
"9239714585","North Gate","Patty Patterson-Tay","224.0","Logistics and Transportation","","Prospect","2026-01-09 12:55","2022-07-26 14:17"," +1 (810) 235-8110","Flint","United States","Michigan","2026-01-09 12:55","Connected","","2025-12-15 19:06","http://www.go2northgate.com","https://www.linkedin.com/company/2051096/"
"15831292521","BioTouch","Patty Patterson-Tay","215.0","Logistics and Supply Chain","","Prospect","2025-12-12 16:43","2023-05-23 09:46"," +1 (844) 484-7134","West Haven","United States","Connecticut","2025-12-12 16:43","Connected","","2025-12-15 19:06","https://biotouchglobal.com/","https://www.linkedin.com/company/biotouch-global/"
"21272664408","GIGG Express","Patty Patterson-Tay","205.0","Logistics and Supply Chain","","","2026-01-20 15:36","2024-06-05 12:07"," +1 (905) 614-0544","Mississauga","Canada","Ontario","2026-01-20 15:36","Connected","","2025-12-15 19:06","giggexpress.ca","https://linkedin.com/company/gigg-express-inc"
"34901536941","Transport N Service Inc","Patty Patterson-Tay","200.0","Logistics and Transportation","Natalia Henao","","2026-01-26 14:27","2025-06-10 11:14"," +1 (800) 268-6857","Milton Canada","Canada","Ontario","2026-01-26 14:27","In Progress","","2025-12-15 19:06","www.transportnservice.com/","https://www.linkedin.com/company/transpro-freight-systems/"
"19637684332","Gurman Trucking","Patty Patterson-Tay","200.0","Logistics and Transportation","","Prospect","2026-01-26 15:25","2024-03-21 18:50"," +1(630) 381-0064","Rolling Meadows","United States","Illinois","2026-01-26 15:25","Connected","","2025-12-15 19:06","gurmanprime.com","https://www.linkedin.com/company/gurman-trucking"
"15806121537","Tradewin","Patty Patterson-Tay","200.0","Logistics and Transportation","Natalia Henao","Prospect","2026-01-21 09:44","2023-05-19 20:39"," +1 (978) 531-0001","Seattle","United States","Washington","2026-01-21 09:44","Open","","2025-12-15 19:06","http://www.tradewin.net/","https://www.linkedin.com/company/tradewin"
"34742921226","Platinum Cargo Logistics","Patty Patterson-Tay","200.0","Logistics and Transportation","","Customer","2026-01-22 14:16","2022-04-01 10:44"," +1 (720) 500-2444","Wheat Ridge","United States","Colorado","2026-01-22 14:16","Connected","2024-03-04","2025-12-15 19:06","http://www.platinumcargologistics.com","https://www.linkedin.com/company/570888/"
"28921371813","Axxess International","Patty Patterson-Tay","199.0","Logistics and Transportation","","","2026-01-22 10:22","2025-01-23 13:55"," +15148499377","Montreal","Canada","Quebec","2026-01-22 10:22","Connected","","2025-12-15 19:06","axxessintl.com","https://www.linkedin.com/company/axxess-international-inc"
"20952059924","Q-Line Trucking","Patty Patterson-Tay","199.0","Transportation/Trucking/Railroad","","Prospect","2026-01-27 12:11","2024-05-09 23:55"," +1 (306) 651-3540","Martensville","Canada","Saskatchewan","2026-01-27 12:11","Buying Cycle","","2025-12-15 19:06","https://www.qlinetrucking.com/","https://www.linkedin.com/company/qlinetrucking"
"10244804271","IPS Packaging","Patty Patterson-Tay","197.0","Logistics and Transportation","","Prospect","2026-01-19 09:00","2022-12-05 10:46"," +1 (864) 862-1500","Fountain Inn","United States","South Carolina","2026-01-12 16:28","Connected","","2025-12-15 19:06","https://www.ipack.com/","https://www.linkedin.com/company/ips-packaging-automation"
"28918750578","Joffroy Global","Patty Patterson-Tay","195.0","Logistics and Transportation","","","2026-01-22 14:24","2025-01-23 13:55"," +15202812472","Laredo","United States ","Texas ","2026-01-22 14:24","Connected","","2025-12-15 19:06","https://joffroy.com","https://www.linkedin.com/company/joffroyglobal/"
